# Time(s)  Experimental_Alpha
0.000000 0.011090
3.065230 0.048790
5.272190 0.096470
7.111330 0.148590
8.889160 0.199600
10.850910 0.251710
12.199610 0.299400
13.670920 0.351510
15.142230 0.398080
16.490930 0.450200
17.900930 0.497880
19.127020 0.546670
20.537030 0.598790
22.008340 0.646470
23.663560 0.700810
25.257480 0.750710
27.280530 0.798390
30.161840 0.850500
35.066210 0.901510
40.644920 0.920360
46.591470 0.933670
51.802350 0.939210
57.626290 0.945870
64.982830 0.950300
71.542420 0.956960
76.017660 0.961390
80.308970 0.964720
84.722900 0.968040
89.198140 0.969150
94.102500 0.974700
97.290340 0.978020
103.420790 0.980240
107.650810 0.983570
111.696910 0.985790
119.237370 0.989110
122.609120 0.990220
