# Time(s)  Fitted_Alpha
0.000000 0.000000
3.065230 0.478584
5.272190 0.639256
7.111330 0.725912
8.889160 0.780591
10.850910 0.818249
12.199610 0.845715
13.670920 0.866586
15.142230 0.882944
16.490930 0.896082
17.900930 0.906844
19.127020 0.915803
20.537030 0.923366
22.008340 0.929825
23.663560 0.935398
25.257480 0.940249
27.280530 0.944506
30.161840 0.948266
35.066210 0.951609
40.644920 0.954598
46.591470 0.957284
51.802350 0.959710
57.626290 0.961908
64.982830 0.963910
71.542420 0.965738
76.017660 0.967414
80.308970 0.968955
84.722900 0.970375
89.198140 0.971688
94.102500 0.972906
97.290340 0.974036
103.420790 0.975089
107.650810 0.976071
111.696910 0.976989
119.237370 0.977849
122.609120 0.978656
